NAME,GEOG,NID,ASSESSMENT_CHANGE,SALES_QUARTILE,OVER_UNDER,D_OVER_UNDER,COUNT,D_COUNT,MED_SALES_PRICE,MED_SALES_RATIO,COD,D_COD,PRD,N_LOW_COUNT,VCS_LOW_COUNT
Abercromby,neighborhood,1,89.8329266263121,Q1,Accurate,Accurate,2,2,327500,0.554487021475257,12.2258345305052,12.4295961102891,1.02856262339034,NA,NA
Abercromby,neighborhood,2,89.8329266263121,Q1,Overassessed,Overassessed,4,4,327500,0.554487021475257,12.2258345305052,12.4295961102891,1.02856262339034,NA,NA
Abercromby,neighborhood,3,89.8329266263121,Q2,Accurate,Accurate,6,6,327500,0.554487021475257,12.2258345305052,12.4295961102891,1.02856262339034,NA,NA
Abercromby,neighborhood,4,89.8329266263121,Q3,Accurate,Accurate,4,4,327500,0.554487021475257,12.2258345305052,12.4295961102891,1.02856262339034,NA,NA
Abercromby,neighborhood,5,89.8329266263121,Q3,Underassessed,Underassessed,2,2,327500,0.554487021475257,12.2258345305052,12.4295961102891,1.02856262339034,NA,NA
Abercromby,neighborhood,6,89.8329266263121,Q4,Underassessed,Underassessed,6,6,327500,0.554487021475257,12.2258345305052,12.4295961102891,1.02856262339034,NA,NA
Albright,neighborhood,7,94.9670862890078,Q1,Overassessed,Overassessed,7,7,284500,0.581342222222222,32.0090707882367,32.0116555324871,1.00886302850385,NA,NA
Albright,neighborhood,8,94.9670862890078,Q1,Underassessed,Underassessed,4,4,284500,0.581342222222222,32.0090707882367,32.0116555324871,1.00886302850385,NA,NA
Albright,neighborhood,9,94.9670862890078,Q2,Accurate,Accurate,4,4,284500,0.581342222222222,32.0090707882367,32.0116555324871,1.00886302850385,NA,NA
Albright,neighborhood,10,94.9670862890078,Q2,Underassessed,Underassessed,7,7,284500,0.581342222222222,32.0090707882367,32.0116555324871,1.00886302850385,NA,NA
Albright,neighborhood,11,94.9670862890078,Q3,Accurate,Accurate,2,2,284500,0.581342222222222,32.0090707882367,32.0116555324871,1.00886302850385,NA,NA
Albright,neighborhood,12,94.9670862890078,Q3,Overassessed,Overassessed,5,5,284500,0.581342222222222,32.0090707882367,32.0116555324871,1.00886302850385,NA,NA
Albright,neighborhood,13,94.9670862890078,Q3,Underassessed,Underassessed,4,4,284500,0.581342222222222,32.0090707882367,32.0116555324871,1.00886302850385,NA,NA
Albright,neighborhood,14,94.9670862890078,Q4,Overassessed,Overassessed,7,7,284500,0.581342222222222,32.0090707882367,32.0116555324871,1.00886302850385,NA,NA
Albright,neighborhood,15,94.9670862890078,Q4,Underassessed,Underassessed,3,3,284500,0.581342222222222,32.0090707882367,32.0116555324871,1.00886302850385,NA,NA
American Village,neighborhood,16,83.2904991047632,Q1,Accurate,Accurate,3,3,492500,0.620964705882353,12.8732622624953,15.1072825443164,1.01890362973308,NA,NA
American Village,neighborhood,17,83.2904991047632,Q1,Overassessed,Overassessed,17,17,492500,0.620964705882353,12.8732622624953,15.1072825443164,1.01890362973308,NA,NA
American Village,neighborhood,18,83.2904991047632,Q2,Accurate,Accurate,12,12,492500,0.620964705882353,12.8732622624953,15.1072825443164,1.01890362973308,NA,NA
American Village,neighborhood,19,83.2904991047632,Q2,Overassessed,Overassessed,8,8,492500,0.620964705882353,12.8732622624953,15.1072825443164,1.01890362973308,NA,NA
American Village,neighborhood,20,83.2904991047632,Q3,Accurate,Accurate,8,8,492500,0.620964705882353,12.8732622624953,15.1072825443164,1.01890362973308,NA,NA
American Village,neighborhood,21,83.2904991047632,Q3,Overassessed,Overassessed,7,7,492500,0.620964705882353,12.8732622624953,15.1072825443164,1.01890362973308,NA,NA
American Village,neighborhood,22,83.2904991047632,Q3,Underassessed,Underassessed,5,5,492500,0.620964705882353,12.8732622624953,15.1072825443164,1.01890362973308,NA,NA
American Village,neighborhood,23,83.2904991047632,Q4,Accurate,Accurate,10,10,492500,0.620964705882353,12.8732622624953,15.1072825443164,1.01890362973308,NA,NA
American Village,neighborhood,24,83.2904991047632,Q4,Overassessed,Overassessed,6,6,492500,0.620964705882353,12.8732622624953,15.1072825443164,1.01890362973308,NA,NA
American Village,neighborhood,25,83.2904991047632,Q4,Underassessed,Underassessed,3,3,492500,0.620964705882353,12.8732622624953,15.1072825443164,1.01890362973308,NA,NA
Anderson St. / Wrightwood Park,neighborhood,26,93.8927893890592,Q1,Accurate,Accurate,2,2,6e+05,0.588422982885086,20.3843582305019,20.718026026715,1.06690308874881,NA,NA
Anderson St. / Wrightwood Park,neighborhood,27,93.8927893890592,Q1,Overassessed,Overassessed,9,9,6e+05,0.588422982885086,20.3843582305019,20.718026026715,1.06690308874881,NA,NA
Anderson St. / Wrightwood Park,neighborhood,28,93.8927893890592,Q2,Accurate,Accurate,4,4,6e+05,0.588422982885086,20.3843582305019,20.718026026715,1.06690308874881,NA,NA
Anderson St. / Wrightwood Park,neighborhood,29,93.8927893890592,Q2,Overassessed,Overassessed,4,4,6e+05,0.588422982885086,20.3843582305019,20.718026026715,1.06690308874881,NA,NA
Anderson St. / Wrightwood Park,neighborhood,30,93.8927893890592,Q2,Underassessed,Underassessed,3,3,6e+05,0.588422982885086,20.3843582305019,20.718026026715,1.06690308874881,NA,NA
Anderson St. / Wrightwood Park,neighborhood,31,93.8927893890592,Q3,Accurate,Accurate,2,2,6e+05,0.588422982885086,20.3843582305019,20.718026026715,1.06690308874881,NA,NA
Anderson St. / Wrightwood Park,neighborhood,32,93.8927893890592,Q3,Overassessed,Overassessed,3,3,6e+05,0.588422982885086,20.3843582305019,20.718026026715,1.06690308874881,NA,NA
Anderson St. / Wrightwood Park,neighborhood,33,93.8927893890592,Q3,Underassessed,Underassessed,6,6,6e+05,0.588422982885086,20.3843582305019,20.718026026715,1.06690308874881,NA,NA
Anderson St. / Wrightwood Park,neighborhood,34,93.8927893890592,Q4,Accurate,Accurate,3,3,6e+05,0.588422982885086,20.3843582305019,20.718026026715,1.06690308874881,NA,NA
Anderson St. / Wrightwood Park,neighborhood,35,93.8927893890592,Q4,Overassessed,Overassessed,1,1,6e+05,0.588422982885086,20.3843582305019,20.718026026715,1.06690308874881,NA,NA
Anderson St. / Wrightwood Park,neighborhood,36,93.8927893890592,Q4,Underassessed,Underassessed,6,6,6e+05,0.588422982885086,20.3843582305019,20.718026026715,1.06690308874881,NA,NA
Archer Woods,neighborhood,37,86.4819209505248,Q1,Accurate,Accurate,1,1,357500,0.598195756402621,15.9044867768707,17.1722345441056,1.0330761458611,NA,NA
Archer Woods,neighborhood,38,86.4819209505248,Q1,Overassessed,Overassessed,3,3,357500,0.598195756402621,15.9044867768707,17.1722345441056,1.0330761458611,NA,NA
Archer Woods,neighborhood,39,86.4819209505248,Q2,Accurate,Accurate,2,2,357500,0.598195756402621,15.9044867768707,17.1722345441056,1.0330761458611,NA,NA
Archer Woods,neighborhood,40,86.4819209505248,Q2,Overassessed,Overassessed,2,2,357500,0.598195756402621,15.9044867768707,17.1722345441056,1.0330761458611,NA,NA
Archer Woods,neighborhood,41,86.4819209505248,Q3,Accurate,Accurate,3,3,357500,0.598195756402621,15.9044867768707,17.1722345441056,1.0330761458611,NA,NA
Archer Woods,neighborhood,42,86.4819209505248,Q3,Underassessed,Underassessed,1,1,357500,0.598195756402621,15.9044867768707,17.1722345441056,1.0330761458611,NA,NA
Archer Woods,neighborhood,43,86.4819209505248,Q4,Accurate,Accurate,2,2,357500,0.598195756402621,15.9044867768707,17.1722345441056,1.0330761458611,NA,NA
Archer Woods,neighborhood,44,86.4819209505248,Q4,Underassessed,Underassessed,2,2,357500,0.598195756402621,15.9044867768707,17.1722345441056,1.0330761458611,NA,NA
Arrowhead,neighborhood,45,90.0849287263003,Q1,Accurate,Accurate,2,2,9e+05,0.61351176983435,17.3160936937168,19.197060047061,1.03470520727567,NA,NA
Arrowhead,neighborhood,46,90.0849287263003,Q1,Overassessed,Overassessed,4,4,9e+05,0.61351176983435,17.3160936937168,19.197060047061,1.03470520727567,NA,NA
Arrowhead,neighborhood,47,90.0849287263003,Q2,Accurate,Accurate,1,1,9e+05,0.61351176983435,17.3160936937168,19.197060047061,1.03470520727567,NA,NA
Arrowhead,neighborhood,48,90.0849287263003,Q2,Overassessed,Overassessed,2,2,9e+05,0.61351176983435,17.3160936937168,19.197060047061,1.03470520727567,NA,NA
Arrowhead,neighborhood,49,90.0849287263003,Q2,Underassessed,Underassessed,2,2,9e+05,0.61351176983435,17.3160936937168,19.197060047061,1.03470520727567,NA,NA
Arrowhead,neighborhood,50,90.0849287263003,Q3,Accurate,Accurate,2,2,9e+05,0.61351176983435,17.3160936937168,19.197060047061,1.03470520727567,NA,NA
Arrowhead,neighborhood,51,90.0849287263003,Q3,Overassessed,Overassessed,3,3,9e+05,0.61351176983435,17.3160936937168,19.197060047061,1.03470520727567,NA,NA
Arrowhead,neighborhood,52,90.0849287263003,Q4,Accurate,Accurate,3,3,9e+05,0.61351176983435,17.3160936937168,19.197060047061,1.03470520727567,NA,NA
Arrowhead,neighborhood,53,90.0849287263003,Q4,Underassessed,Underassessed,2,2,9e+05,0.61351176983435,17.3160936937168,19.197060047061,1.03470520727567,NA,NA
Ashley Forest,neighborhood,54,84.2931098124937,Q1,Accurate,Accurate,1,1,392500,0.595211375212224,15.1791620675459,15.6582986159565,1.0336482636385,NA,NA
Ashley Forest,neighborhood,55,84.2931098124937,Q1,Overassessed,Overassessed,9,9,392500,0.595211375212224,15.1791620675459,15.6582986159565,1.0336482636385,NA,NA
Ashley Forest,neighborhood,56,84.2931098124937,Q2,Accurate,Accurate,7,7,392500,0.595211375212224,15.1791620675459,15.6582986159565,1.0336482636385,NA,NA
Ashley Forest,neighborhood,57,84.2931098124937,Q2,Overassessed,Overassessed,3,3,392500,0.595211375212224,15.1791620675459,15.6582986159565,1.0336482636385,NA,NA
Ashley Forest,neighborhood,58,84.2931098124937,Q3,Accurate,Accurate,4,4,392500,0.595211375212224,15.1791620675459,15.6582986159565,1.0336482636385,NA,NA
Ashley Forest,neighborhood,59,84.2931098124937,Q3,Overassessed,Overassessed,3,3,392500,0.595211375212224,15.1791620675459,15.6582986159565,1.0336482636385,NA,NA
Ashley Forest,neighborhood,60,84.2931098124937,Q3,Underassessed,Underassessed,2,2,392500,0.595211375212224,15.1791620675459,15.6582986159565,1.0336482636385,NA,NA
Ashley Forest,neighborhood,61,84.2931098124937,Q4,Accurate,Accurate,3,3,392500,0.595211375212224,15.1791620675459,15.6582986159565,1.0336482636385,NA,NA
Ashley Forest,neighborhood,62,84.2931098124937,Q4,Underassessed,Underassessed,6,6,392500,0.595211375212224,15.1791620675459,15.6582986159565,1.0336482636385,NA,NA
Ashton Hall,neighborhood,63,66.0448054967778,Q1,Overassessed,Overassessed,15,15,441000,0.636558620689655,14.8925963777199,18.8870032810077,1.02954792342582,NA,NA
Ashton Hall,neighborhood,64,66.0448054967778,Q2,Accurate,Accurate,8,8,441000,0.636558620689655,14.8925963777199,18.8870032810077,1.02954792342582,NA,NA
Ashton Hall,neighborhood,65,66.0448054967778,Q2,Overassessed,Overassessed,6,6,441000,0.636558620689655,14.8925963777199,18.8870032810077,1.02954792342582,NA,NA
