"Name","Race","Race_percentage"
"Abercromby","Asian",3.36002290101818
"Abercromby","Black",57.8117879489091
"Abercromby","Hispanic",10.1886168677818
"Abercromby","White",25.9494065032727
"Abron Drive","Asian",12.67710664
"Abron Drive","Black",8.128262491
"Abron Drive","Hispanic",1.565995526
"Abron Drive","White",71.58836689
"Albright","Asian",0.770807103306358
"Albright","Black",31.1109668505202
"Albright","Hispanic",40.5405060192486
"Albright","White",25.1142801816185
"Amberlynn Valley","Asian",0
"Amberlynn Valley","Black",70.51993942
"Amberlynn Valley","Hispanic",8.480565371
"Amberlynn Valley","White",4.745078243
"American Village","Asian",7.05158169294567
"American Village","Black",15.5754874948773
"American Village","Hispanic",5.30601623653119
"American Village","White",69.0561694226962
"Anderson St. / Wrightwood Park","Asian",0
"Anderson St. / Wrightwood Park","Black",26.24179944
"Anderson St. / Wrightwood Park","Hispanic",28.39737582
"Anderson St. / Wrightwood Park","White",28.49109653
"Archer Woods","Asian",0.069824900635514
"Archer Woods","Black",11.150765244514
"Archer Woods","Hispanic",0.942565423485982
"Archer Woods","White",86.176582584486
"Arrowhead","Asian",10.9975326
"Arrowhead","Black",12.19598167
"Arrowhead","Hispanic",0
"Arrowhead","White",70.46175538
"Ashley Forest","Asian",4.281891169
"Ashley Forest","Black",21.67707404
"Ashley Forest","Hispanic",2.943800178
"Ashley Forest","White",61.46297948
"Ashton Hall","Asian",10.56625803
"Ashton Hall","Black",36.31056626
"Ashton Hall","Hispanic",13.25160537
"Ashton Hall","White",39.87157034
"Auburn Hills","Asian",1.861832435
"Auburn Hills","Black",31.50416463
"Auburn Hills","Hispanic",5.634492896
"Auburn Hills","White",55.41401274
"Audubon Park","Asian",0.72815534
"Audubon Park","Black",17.31391586
"Audubon Park","Hispanic",3.478964401
"Audubon Park","White",71.60194175
"Autumn Ridge","Asian",0
"Autumn Ridge","Black",56.41025641
"Autumn Ridge","Hispanic",6.666666667
"Autumn Ridge","White",34.65201465
"Bahama","Asian",0.0647360924680851
"Bahama","Black",20.4113486038298
"Bahama","Hispanic",1.88705709702128
"Bahama","White",77.2160736059574
"Barclay to Sandlewood","Asian",9.936305732
"Barclay to Sandlewood","Black",20
"Barclay to Sandlewood","Hispanic",0
"Barclay to Sandlewood","White",70.06369427
"Belcrest","Asian",21.55207077
"Belcrest","Black",39.20386007
"Belcrest","Hispanic",9.288299156
"Belcrest","White",28.58866104
"Bennet Place","Asian",0
"Bennet Place","Black",6.994047619
"Bennet Place","Hispanic",18.75
"Bennet Place","White",69.64285714
"Bent Creek / Woodberry Forest","Asian",5.809698079
"Bent Creek / Woodberry Forest","Black",22.64409881
"Bent Creek / Woodberry Forest","Hispanic",0
"Bent Creek / Woodberry Forest","White",70.3568161
"Bluffs of the Eno","Asian",0
"Bluffs of the Eno","Black",61.07544141
"Bluffs of the Eno","Hispanic",3.451043339
"Bluffs of the Eno","White",28.81219904
"Bradbury Glen","Asian",10.0936996797143
"Bradbury Glen","Black",31.7215959718182
"Bradbury Glen","Hispanic",1.65457526209091
"Bradbury Glen","White",50.3344400319481
"Bradbury Trace","Asian",10.24868124
"Bradbury Trace","Black",31.98944989
"Bradbury Trace","Hispanic",1.620195931
"Bradbury Trace","White",50.03767898
"Bragtown","Asian",0.848880477819766
"Bragtown","Black",61.264390018813
