"NAME","RELATED_NAME"
"Walltown","R822D - WALL TOWN"
"Walltown","R822C - TRINITY HEIGHTS"
"Trinity Heights","R822C - TRINITY HEIGHTS"
"Trinity Park","R822D - WALL TOWN"
"Trinity Park","R822A - TRINITY PARK"
"Watts Hospital-Hillandale","R822E - OLD W DURHAM"
"Watts Hospital-Hillandale","R822F - WATTS HILLANDALE"
"Old West Durham","R822E - OLD W DURHAM"
"Walltown","R822G - BROAD ACRES"
"Watts Hospital-Hillandale","R822G - BROAD ACRES"
"Duke Forest","R811A - DUKE UNIV HOMESITES SEC6"
"Watts Hospital-Hillandale","R822H - WARREN PARK"
"Trinity Park","R822C - TRINITY HEIGHTS"
"Duke Park","R832B - DUKE PARK"
"Burch Avenue","R821E - W CHAPEL HILL RD"
"Brookstown","R821E - W CHAPEL HILL RD"
"Anderson St. / Wrightwood Park","R811H - ANDERSON ST 2"
"Anderson St. / Wrightwood Park","R811F - CHAPEL HILL RD"
"Anderson St. / Wrightwood Park","R811G - ANDERSON ST"
"Tuscaloosa-Lakewood","R811F - CHAPEL HILL RD"
"Lakewood Park","R811F - CHAPEL HILL RD"
"Crest Street","R812A - CREST ST"
"Old North Durham","R832C - OLD N DURHAM"
"Old North Durham","R832G - NORTH AND GEER"
"Trinity Park","R822B - TYLER CT"
"Northgate Park","R822K - CLUB AND WASHINGTON"
"Walltown","R822J - HACKNEY"
"West Murray / Broad","R822I - I-85 & BROAD NE"
"Northgate Park","R822I - I-85 & BROAD NE"
"Northgate Park","R832E - NE ROXBORO & I-85"
"Northgate Park","R822A - TRINITY PARK"
"Rockwood","R810K - MARTIN LUTHER KG/HOPE VAL"
"Preston Woods","R810K - MARTIN LUTHER KG/HOPE VAL"
"Rockwood","R820A - ARCHDALE AND ROXBORO"
"College View / NCCU","R820F - PRESIDENTIAL"
"Forest Hills","R820A - ARCHDALE AND ROXBORO"
"Parkside","R820A - ARCHDALE AND ROXBORO"
"Parkside","R820H - FOREST HILLS"
"Parkside","R820E - PARKSIDE"
"Forest Hills","R820H - FOREST HILLS"
"Forest Hills","R820E - PARKSIDE"
"Rockwood","R821C - ROSELAND AVE"
"Long Meadow","R821C - ROSELAND AVE"
"Long Meadow","R811F - CHAPEL HILL RD"
"Lyon Park","R821D - LAKEWOOD"
"Lakewood Park","R821D - LAKEWOOD"
"Long Meadow","R821D - LAKEWOOD"
"Lakewood Park","R821C - ROSELAND AVE"
"Cranford Road","R811G - ANDERSON ST"
"West End","R821E - W CHAPEL HILL RD"
"West End","C821D - FOREST HILLS CENTER"
"West End","R811G - ANDERSON ST"
"Duke West Campus","C811A - DUKE UNIV."
"Duke West Campus","R821E - W CHAPEL HILL RD"
"Colonial Village","C832G - I85 AT ROXBORO ST."
"Bragtown","R832E - NE ROXBORO & I-85"
"Duke Park","R832A - CAMDEN & AVONDALE"
"Duke Park","C832E - MARKHAM @ CAMDEN"
"Old North Durham","R832H"
"Old Five Points","R832C - OLD N DURHAM"
"Cleveland-Holloway","R831H - CLEVELAND HOLLOWAY"
"Cleveland-Holloway","C831G - ROXBORO SPOT"
"Cleveland-Holloway","R832C - OLD N DURHAM"
"Albright","R831C - OLD EAST DURHAM"
"Old East Durham","R831C - OLD EAST DURHAM"
"Old East Durham","C831E - ELIZABETH C&I"
"Albright","R831H - CLEVELAND HOLLOWAY"
"Eastway Village","R831C - OLD EAST DURHAM"
"Franklin Village","R831C - OLD EAST DURHAM"
"Golden Belt","R831H - CLEVELAND HOLLOWAY"
"Edgemont","R831C - OLD EAST DURHAM"
"Edgemont","R831B - MAIN & ELM"
"Old East Durham","C831C - E. DURHAM C&I"
"Old East Durham","R831J - ANGIER AVENUE"
"Wellons Village","R831C - OLD EAST DURHAM"
"Morehead Hill","R821E - W CHAPEL HILL RD"
"Morehead Hill","D821S - S DUKE ST"
"Morehead Hill","C821C - DUKE ST. O&I"
"Morehead Hill","R821D - LAKEWOOD"
"Morehead Hill","R821G - ORCHARD PARK"
"Morehead Hill","R820H - FOREST HILLS"
"Forest Hills","R821C - ROSELAND AVE"
"College View / NCCU","R820G - RES SOUTH OF NCCU"
"College View / NCCU","R820D - FAYETTEVILLE AND HOMELAND"
"Duke Forest","R811F - CHAPEL HILL RD"
"Anderson St. / Wrightwood Park","R811A - DUKE UNIV HOMESITES SEC6"
"College View / NCCU","C821E - NC CENTRAL AREA"
"Southside / St. Teresa","R821B - SOUTHSIDE"
"Grant Street","R830G - HABITATE HAY DEVELOPMENT"
"Southside / St. Teresa","R821A - SOUTHSIDE NEW CONSTR"
"Tuscaloosa-Lakewood","R810K - MARTIN LUTHER KG/HOPE VAL"
"Watts Hospital-Hillandale","R812C - SPRUNT & MOUNTAINVIEW"
"Colonial Village","R832E - NE ROXBORO & I-85"
"Northgate Park","C823H - DURHAM HOSPITAL AREA"
"Duke Forest","R811E - 501 & CORNWALLIS"
"Cameron Woods","R811C - CAMERON WOODS"
"Duke Forest","R811B - DUKE UNIV HOMESITES SEC 9"
"Valley Run","R810M - VALLEY RAN"
"Valley Run","R810K - MARTIN LUTHER KG/HOPE VAL"
"Chapel Hill Road","R810K - MARTIN LUTHER KG/HOPE VAL"
"Dixon Road Area","R810K - MARTIN LUTHER KG/HOPE VAL"
"Hope Valley","R719F - CARLTON CROSSING"
"Green Mill","R810S - SHERIDAN DR"
"Hope Valley North","R810G - HOPE VALLEY NORTH"
"Hope Valley","R810G - HOPE VALLEY NORTH"
"Hope Valley North","R719F - CARLTON CROSSING"
"Hope Valley Downs","R810K - MARTIN LUTHER KG/HOPE VAL"
"Dixon Road Area","C810E - OLD CHAPEL HILL/UNVSTY DR"
"Dixon Road Area","R810N - LASSITER ST"
"Dixon Road Area","R810B - WINTON RD"
"Colchester","R810H - GREEN MILL"
"Hope Valley North","R810H - GREEN MILL"
"Green Mill","R810G - HOPE VALLEY NORTH"
"Green Mill","R810H - GREEN MILL"
"Green Mill","R810K - MARTIN LUTHER KG/HOPE VAL"
"Hope Valley","R719C - HOPE VALLEY ON RUGBY RD."
"Sheridan Drive","R810S - SHERIDAN DR"
"American Village","R802C - TURNAGE HEIGHTS"
"Watts Hospital-Hillandale","R812B - HILLANDALE COMMONS"
"Omah Street","R823C - VILLAGE GREEN"
"Omah Street","C823B - GUESS RD NORTH/W CARVER S"
"Stadium Heights","R823B - ROXBORO STADIUM DUKE HUMS"
"Scarsdale Village","R823G - CRYSTAL MEADOWS"
"Scarsdale Village","R823B - ROXBORO STADIUM DUKE HUMS"
"Scarsdale Village","C823J - BROAD ST SPOT"
"Duke Homestead","R823B - ROXBORO STADIUM DUKE HUMS"
"Duke Homestead","R823K - ROXBORO STADIUM DUKE HUMS"
"Preston Avenue","R823B - ROXBORO STADIUM DUKE HUMS"
"Scarsdale Village","R823C - VILLAGE GREEN"
"Scarsdale Village","R823H - GUESS RD. NORTH OF 85"
"Scarsdale Village","R823D - SCARESDALE"
"Scarsdale Village","R824G - CANDLEWICK"
"Holston Meadows","R824G - CANDLEWICK"
"Stadium Heights","C823H - DURHAM HOSPITAL AREA"
"Bragtown","R833D - OXFORD COMMONS RESIDENTAL"
"Bragtown","C823H - DURHAM HOSPITAL AREA"
"Bragtown","R833C - OLD OXFORD AND DEARBORN"
"Bragtown","R832F - CLUB & DEARBORN"
"Bragtown","R832D - GLENBROOK"
"Northeast Hills","C832F - CHEEK RD. EAST OF 70"
"Northeast Hills","R842C - WINDSOR HILLS"
"Croasdaile","R813C - CROASDAILE"
"Pleasant Drive","R840B - MIAMI & PLEASENT"
"Unity Village","R830F - ALSON AND NIXON"
"Emorywood Estates","R830H - SOUTHEAST PARK"
"Emorywood Estates","R830B - EMORYWOOD ESTATES"
"Emorywood Estates","R830A - KIRBY ST"
"Dixon Road Area","R810L - ST ANDREWS COMMON"
"Hope Valley Forest","R810J - REYNOLDS AVE"
"Sheridan Drive","R810J - REYNOLDS AVE"
"Hope Valley Forest","R719H - BRIGHTON RD."
"Surrey Green","R719F - CARLTON CROSSING"
"Hope Valley","R719H - BRIGHTON RD."
"Hope Valley","R719D - RESIDENTIAL"
"Valleybrook","R709R - RESIDENTIAL"
"Hope Valley","R709R - RESIDENTIAL"
"Hope Valley Green","R719A - GREEN HOPE VALLEY"
"Hope Valley","R719B - HEATHERWOOD"
"Valleybrook","R709F - NORTH I40 RURAL"
"The Landing at Southpoint","R709F - NORTH I40 RURAL"
"Trotter Ridge","R719N - NORTH HAMPTON HILLS"
"Trotter Ridge","R709M - TROTTER RIDGE"
"Bent Creek / Woodberry Forest","R709R - RESIDENTIAL"
"Mary Dell","R709L - MARY HILL"
